gender|SeniorCitizen|Partner|Dependents|tenure|PhoneService|MultipleLines|InternetService|OnlineSecurity|OnlineBackup|DeviceProtection|TechSupport|StreamingTV|StreamingMovies|Contract|PaperlessBilling|PaymentMethod|MonthlyCharges|TotalCharges|Churn|PaymentMethods|tenures|Contracts|MultipleLiness|Partners|Dependentss|PhoneServices|InternetServices|OnlineSecuritys|OnlineBackups|DeviceProtections|TechSupports|StreamingTVs|StreamingMoviess|PaperlessBillings|churned|SeniorCitizens|MonthlyChargess|TotalChargess
Female|0.0|Yes|No|1.0|No|No phone service|DSL|No|Yes|No|No|No|No|Month-to-month|Yes|Electronic check|29.85|29.85|No|0.0|0.0|0.0|2.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|930.0|648.0
Male|0.0|No|No|34.0|Yes|No|DSL|Yes|No|Yes|No|No|No|One year|No|Mailed check|56.95|1889.5|No|1.0|54.0|2.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1463.0|3319.0
Male|0.0|No|No|2.0|Yes|No|DSL|Yes|Yes|No|No|No|No|Month-to-month|Yes|Mailed check|53.85|108.15|Yes|1.0|2.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|639.0|2224.0
Male|0.0|No|No|45.0|No|No phone service|DSL|Yes|No|Yes|Yes|No|No|One year|No|Bank transfer (automatic)|42.3|1840.75|No|2.0|65.0|2.0|2.0|0.0|0.0|1.0|1.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|1210.0|4943.0
Female|0.0|No|No|2.0|Yes|No|Fiber optic|No|No|No|No|No|No|Month-to-month|Yes|Electronic check|70.7|151.65|Yes|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|146.0|4019.0
Female|0.0|No|No|8.0|Yes|Yes|Fiber optic|No|No|Yes|No|Yes|Yes|Month-to-month|Yes|Electronic check|99.65|820.5|Yes|0.0|8.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|136.0|1101.0
Male|0.0|No|Yes|22.0|Yes|Yes|Fiber optic|No|Yes|No|No|Yes|No|Month-to-month|Yes|Credit card (automatic)|89.1|1949.4|No|3.0|22.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|123.0|5737.0
Female|0.0|No|No|10.0|No|No phone service|DSL|Yes|No|No|No|No|No|Month-to-month|No|Mailed check|29.75|301.9|No|1.0|12.0|0.0|2.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|818.0|1045.0
Female|0.0|Yes|No|28.0|Yes|Yes|Fiber optic|No|No|Yes|Yes|Yes|Yes|Month-to-month|Yes|Electronic check|104.8|3046.05|Yes|0.0|68.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|1.0|0.0|393.0|1960.0
Male|0.0|No|Yes|62.0|Yes|No|DSL|Yes|Yes|No|No|No|No|One year|No|Bank transfer (automatic)|56.15|3487.95|No|2.0|46.0|2.0|0.0|0.0|1.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|222.0|2157.0
Male|0.0|Yes|Yes|13.0|Yes|No|DSL|Yes|No|No|No|No|No|Month-to-month|Yes|Mailed check|49.95|587.45|No|1.0|14.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|519.0|5693.0
Male|0.0|No|No|16.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Two year|No|Credit card (automatic)|18.95|326.8|No|3.0|27.0|1.0|0.0|0.0|0.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|0.0|0.0|356.0|5241.0
Male|0.0|Yes|No|58.0|Yes|Yes|Fiber optic|No|No|Yes|No|Yes|Yes|One year|No|Credit card (automatic)|100.35|5681.1|No|3.0|52.0|2.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|1.0|0.0|0.0|736.0|600.0
Male|0.0|No|No|49.0|Yes|Yes|Fiber optic|No|Yes|Yes|No|Yes|Yes|Month-to-month|Yes|Bank transfer (automatic)|103.7|5036.3|Yes|2.0|53.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|407.0|6137.0
Male|0.0|No|No|25.0|Yes|No|Fiber optic|Yes|No|Yes|Yes|Yes|Yes|Month-to-month|Yes|Electronic check|105.5|2686.05|No|0.0|31.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|308.0|6073.0
